'Symptom 1','Symptom 2','Symptom 3','Symptom 4','Symptom 5','Symptom 6','Symptom 7','Symptom 8','Symptom 9','Symptom 10','Symptom 11','Symptom 12','Symptom 13','Symptom 14','Symptom 15','Symptom 16','Symptom 17',Disease
' vomiting',' fatigue',' yellowish_skin',' dark_urine',' nausea',' loss_of_appetite',' abdominal_pain',' yellowing_of_eyes',0,0,0,0,0,0,0,0,0,'Hepatitis D'
' vomiting',' yellowish_skin',' abdominal_pain',' swelling_of_stomach',' distention_of_abdomen',' history_of_alcohol_consumption',' fluid_overload',0,0,0,0,0,0,0,0,0,0,'Alcoholic hepatitis'
' joint_pain',' neck_pain',' knee_pain',' hip_joint_pain',' swelling_joints',' painful_walking',0,0,0,0,0,0,0,0,0,0,0,Osteoarthristis
itching,' vomiting',' yellowish_skin',' nausea',' loss_of_appetite',' abdominal_pain',' yellowing_of_eyes',0,0,0,0,0,0,0,0,0,0,'Chronic cholestasis'
' fatigue',' cramps',' bruising',' obesity',' swollen_legs',' swollen_blood_vessels',' prominent_veins_on_calf',0,0,0,0,0,0,0,0,0,0,'Varicose veins'
' chills',' vomiting',' high_fever',' sweating',' headache',' nausea',' diarrhoea',' muscle_pain',0,0,0,0,0,0,0,0,0,Malaria
' skin_rash',' pus_filled_pimples',' blackheads',' scurring',0,0,0,0,0,0,0,0,0,0,0,0,0,Acne
' vomiting',' weakness_of_one_body_side',' altered_sensorium',0,0,0,0,0,0,0,0,0,0,0,0,0,0,'Paralysis (brain hemorrhage)'
' vomiting',' abdominal_pain',' swelling_of_stomach',' distention_of_abdomen',' history_of_alcohol_consumption',' fluid_overload',0,0,0,0,0,0,0,0,0,0,0,'Alcoholic hepatitis'
' chills',' vomiting',' fatigue',' high_fever',' headache',' nausea',' constipation',' abdominal_pain',' toxic_look_(typhos)',' belly_pain',0,0,0,0,0,0,0,Typhoid
' vomiting',' fatigue',' anxiety',' headache',' nausea',' blurred_and_distorted_vision',' excessive_hunger',' drying_and_tingling_lips',' slurred_speech',' irritability',' palpitations',0,0,0,0,0,0,Hypoglycemia
' constipation',' pain_during_bowel_movements',' pain_in_anal_region',' bloody_stool',' irritation_in_anus',0,0,0,0,0,0,0,0,0,0,0,0,'Dimorphic hemmorhoids(piles)'
' continuous_sneezing',' chills',' fatigue',' cough',' high_fever',' headache',' swelled_lymph_nodes',' malaise',' phlegm',' throat_irritation',' redness_of_eyes',' sinus_pressure',' runny_nose',' congestion',' chest_pain',' loss_of_smell',' muscle_pain','Common Cold'
itching,' vomiting',' nausea',' loss_of_appetite',' abdominal_pain',' yellowing_of_eyes',0,0,0,0,0,0,0,0,0,0,0,'Chronic cholestasis'
' continuous_sneezing',' chills',' fatigue',' cough',' high_fever',' headache',' swelled_lymph_nodes',' malaise',' phlegm',' throat_irritation',' redness_of_eyes',' sinus_pressure',' runny_nose',' congestion',' chest_pain',' loss_of_smell',' muscle_pain','Common Cold'
itching,' skin_rash',' fatigue',' high_fever',' headache',' loss_of_appetite',' mild_fever',' swelled_lymph_nodes',' malaise',' red_spots_over_body',0,0,0,0,0,0,0,'Chicken pox'
' vomiting',' fatigue',' anxiety',' sweating',' headache',' nausea',' blurred_and_distorted_vision',' excessive_hunger',' drying_and_tingling_lips',' slurred_speech',' irritability',' palpitations',0,0,0,0,0,Hypoglycemia
' shivering',' chills',' watering_from_eyes',0,0,0,0,0,0,0,0,0,0,0,0,0,0,Allergy
' joint_pain',' vomiting',' fatigue',' yellowish_skin',' dark_urine',' nausea',' loss_of_appetite',' abdominal_pain',' yellowing_of_eyes',0,0,0,0,0,0,0,0,'Hepatitis D'
' burning_micturition',' bladder_discomfort',' foul_smell_of urine',' continuous_feel_of_urine',0,0,0,0,0,0,0,0,0,0,0,0,0,'Urinary tract infection'
' vomiting',' fatigue',' anxiety',' sweating',' headache',' nausea',' blurred_and_distorted_vision',' excessive_hunger',' drying_and_tingling_lips',' slurred_speech',' irritability',' palpitations',0,0,0,0,0,Hypoglycemia
' back_pain',' weakness_in_limbs',' neck_pain',' dizziness',' loss_of_balance',0,0,0,0,0,0,0,0,0,0,0,0,'Cervical spondylosis'
' continuous_sneezing',' shivering',' chills',' watering_from_eyes',0,0,0,0,0,0,0,0,0,0,0,0,0,Allergy
' fatigue',' yellowish_skin',' nausea',' loss_of_appetite',' yellowing_of_eyes',' family_history',0,0,0,0,0,0,0,0,0,0,0,'Hepatitis C'
' vomiting',' headache',' nausea',' spinning_movements',' loss_of_balance',' unsteadiness',0,0,0,0,0,0,0,0,0,0,0,'(vertigo) Paroymsal  Positional Vertigo'
' continuous_sneezing',' shivering',' chills',' watering_from_eyes',0,0,0,0,0,0,0,0,0,0,0,0,0,Allergy
' fatigue',' mood_swings',' weight_loss',' restlessness',' sweating',' diarrhoea',' fast_heart_rate',' excessive_hunger',' muscle_weakness',' irritability',' abnormal_menstruation',0,0,0,0,0,0,Hyperthyroidism
' fatigue',' cramps',' bruising',' obesity',' swollen_legs',' swollen_blood_vessels',' prominent_veins_on_calf',0,0,0,0,0,0,0,0,0,0,'Varicose veins'
' muscle_weakness',' stiff_neck',' swelling_joints',' movement_stiffness',' painful_walking',0,0,0,0,0,0,0,0,0,0,0,0,Arthritis
' muscle_weakness',' stiff_neck',' swelling_joints',' movement_stiffness',' painful_walking',0,0,0,0,0,0,0,0,0,0,0,0,Arthritis
' stomach_pain',' acidity',' ulcers_on_tongue',' vomiting',' cough',' chest_pain',0,0,0,0,0,0,0,0,0,0,0,GERD
' fatigue',' yellowish_skin',' nausea',' loss_of_appetite',' yellowing_of_eyes',' family_history',0,0,0,0,0,0,0,0,0,0,0,'Hepatitis C'
' skin_rash',' high_fever',' blister',' red_sore_around_nose',0,0,0,0,0,0,0,0,0,0,0,0,0,Impetigo
' skin_rash',' chills',' joint_pain',' vomiting',' fatigue',' high_fever',' headache',' nausea',' loss_of_appetite',' pain_behind_the_eyes',' back_pain',' malaise',' muscle_pain',' red_spots_over_body',0,0,0,Dengue
' joint_pain',' vomiting',' fatigue',' high_fever',' yellowish_skin',' dark_urine',' nausea',' loss_of_appetite',' abdominal_pain',' yellowing_of_eyes',' acute_liver_failure',' coma',' stomach_bleeding',0,0,0,0,'Hepatitis E'
' joint_pain',' vomiting',' fatigue',' yellowish_skin',' dark_urine',' nausea',' loss_of_appetite',' abdominal_pain',' yellowing_of_eyes',0,0,0,0,0,0,0,0,'Hepatitis D'
' vomiting',' indigestion',' loss_of_appetite',' abdominal_pain',' passage_of_gases',' internal_itching',0,0,0,0,0,0,0,0,0,0,0,'Peptic ulcer diseae'
' vomiting',' headache',' nausea',' spinning_movements',' loss_of_balance',' unsteadiness',0,0,0,0,0,0,0,0,0,0,0,'(vertigo) Paroymsal  Positional Vertigo'
' patches_in_throat',' high_fever',' extra_marital_contacts',0,0,0,0,0,0,0,0,0,0,0,0,0,0,AIDS
itching,' nodal_skin_eruptions',' dischromic _patches',0,0,0,0,0,0,0,0,0,0,0,0,0,0,'Fungal infection'
' vomiting',' yellowish_skin',' abdominal_pain',' swelling_of_stomach',' distention_of_abdomen',' history_of_alcohol_consumption',' fluid_overload',0,0,0,0,0,0,0,0,0,0,'Alcoholic hepatitis'
itching,' skin_rash',' nodal_skin_eruptions',' dischromic _patches',0,0,0,0,0,0,0,0,0,0,0,0,0,'Fungal infection'
itching,' vomiting',' yellowish_skin',' nausea',' loss_of_appetite',' abdominal_pain',0,0,0,0,0,0,0,0,0,0,0,'Chronic cholestasis'
' vomiting',' high_fever',' sweating',' headache',' nausea',' diarrhoea',' muscle_pain',0,0,0,0,0,0,0,0,0,0,Malaria
' vomiting',' headache',' nausea',' spinning_movements',' loss_of_balance',' unsteadiness',0,0,0,0,0,0,0,0,0,0,0,'(vertigo) Paroymsal  Positional Vertigo'
' muscle_weakness',' stiff_neck',' swelling_joints',' movement_stiffness',' painful_walking',0,0,0,0,0,0,0,0,0,0,0,0,Arthritis
' vomiting',' anxiety',' sweating',' headache',' nausea',' blurred_and_distorted_vision',' excessive_hunger',' drying_and_tingling_lips',' slurred_speech',' irritability',' palpitations',0,0,0,0,0,0,Hypoglycemia
' stomach_pain',' acidity',' ulcers_on_tongue',' vomiting',' cough',' chest_pain',0,0,0,0,0,0,0,0,0,0,0,GERD
' stomach_pain',' acidity',' ulcers_on_tongue',' cough',' chest_pain',0,0,0,0,0,0,0,0,0,0,0,0,GERD
' fatigue',' weight_gain',' cold_hands_and_feets',' mood_swings',' lethargy',' dizziness',' puffy_face_and_eyes',' enlarged_thyroid',' brittle_nails',' swollen_extremeties',' depression',' irritability',' abnormal_menstruation',0,0,0,0,Hypothyroidism
itching,' vomiting',' yellowish_skin',' nausea',' abdominal_pain',' yellowing_of_eyes',0,0,0,0,0,0,0,0,0,0,0,'Chronic cholestasis'
' joint_pain',' vomiting',' fatigue',' dark_urine',' nausea',' loss_of_appetite',' abdominal_pain',' yellowing_of_eyes',0,0,0,0,0,0,0,0,0,'Hepatitis D'
' vomiting',' yellowish_skin',' abdominal_pain',' swelling_of_stomach',' distention_of_abdomen',' history_of_alcohol_consumption',' fluid_overload',0,0,0,0,0,0,0,0,0,0,'Alcoholic hepatitis'
' chills',' vomiting',' fatigue',' weight_loss',' cough',' high_fever',' breathlessness',' sweating',' loss_of_appetite',' mild_fever',' yellowing_of_eyes',' swelled_lymph_nodes',' malaise',' phlegm',' chest_pain',' blood_in_sputum',0,Tuberculosis
itching,' skin_rash',' nodal_skin_eruptions',' dischromic _patches',0,0,0,0,0,0,0,0,0,0,0,0,0,'Fungal infection'
' vomiting',' breathlessness',' sweating',' chest_pain',0,0,0,0,0,0,0,0,0,0,0,0,0,'Heart attack'
' vomiting',' yellowish_skin',' abdominal_pain',' swelling_of_stomach',' distention_of_abdomen',' history_of_alcohol_consumption',' fluid_overload',0,0,0,0,0,0,0,0,0,0,'Alcoholic hepatitis'
itching,' fatigue',' lethargy',' yellowish_skin',' dark_urine',' loss_of_appetite',' yellow_urine',' yellowing_of_eyes',' malaise',' receiving_blood_transfusion',' receiving_unsterile_injections',0,0,0,0,0,0,'Hepatitis B'
' skin_rash',' joint_pain',' skin_peeling',' silver_like_dusting',' small_dents_in_nails',' inflammatory_nails',0,0,0,0,0,0,0,0,0,0,0,Psoriasis
itching,' vomiting',' yellowish_skin',' nausea',' loss_of_appetite',' abdominal_pain',' yellowing_of_eyes',0,0,0,0,0,0,0,0,0,0,'Chronic cholestasis'
' vomiting',' headache',' altered_sensorium',0,0,0,0,0,0,0,0,0,0,0,0,0,0,'Paralysis (brain hemorrhage)'
' chills',' fatigue',' cough',' high_fever',' breathlessness',' sweating',' malaise',' phlegm',' chest_pain',' fast_heart_rate',' rusty_sputum',0,0,0,0,0,0,Pneumonia
' chills',' vomiting',' fatigue',' high_fever',' headache',' constipation',' abdominal_pain',' diarrhoea',' toxic_look_(typhos)',' belly_pain',0,0,0,0,0,0,0,Typhoid
itching,' skin_rash',' stomach_pain',' burning_micturition',' spotting_ urination',0,0,0,0,0,0,0,0,0,0,0,0,'Drug Reaction'
itching,' vomiting',' fatigue',' high_fever',' yellowish_skin',' dark_urine',' abdominal_pain',0,0,0,0,0,0,0,0,0,0,Jaundice
' vomiting',' fatigue',' anxiety',' headache',' nausea',' blurred_and_distorted_vision',' excessive_hunger',' drying_and_tingling_lips',' slurred_speech',' irritability',' palpitations',0,0,0,0,0,0,Hypoglycemia
' skin_rash',' chills',' joint_pain',' vomiting',' fatigue',' high_fever',' headache',' nausea',' loss_of_appetite',' pain_behind_the_eyes',' back_pain',' malaise',' muscle_pain',' red_spots_over_body',0,0,0,Dengue
itching,' vomiting',' yellowish_skin',' nausea',' abdominal_pain',' yellowing_of_eyes',0,0,0,0,0,0,0,0,0,0,0,'Chronic cholestasis'
' chills',' vomiting',' fatigue',' high_fever',' headache',' nausea',' constipation',' diarrhoea',' toxic_look_(typhos)',' belly_pain',0,0,0,0,0,0,0,Typhoid
' chills',' vomiting',' fatigue',' weight_loss',' cough',' high_fever',' breathlessness',' sweating',' loss_of_appetite',' mild_fever',' yellowing_of_eyes',' swelled_lymph_nodes',' malaise',' phlegm',' chest_pain',' blood_in_sputum',0,Tuberculosis
' continuous_sneezing',' chills',' cough',' high_fever',' headache',' swelled_lymph_nodes',' malaise',' phlegm',' throat_irritation',' redness_of_eyes',' sinus_pressure',' runny_nose',' congestion',' chest_pain',' loss_of_smell',' muscle_pain',0,'Common Cold'
' joint_pain',' vomiting',' fatigue',' high_fever',' yellowish_skin',' dark_urine',' nausea',' loss_of_appetite',' abdominal_pain',' yellowing_of_eyes',' acute_liver_failure',' coma',' stomach_bleeding',0,0,0,0,'Hepatitis E'
' skin_rash',' high_fever',' blister',' red_sore_around_nose',' yellow_crust_ooze',0,0,0,0,0,0,0,0,0,0,0,0,Impetigo
' fatigue',' weight_loss',' restlessness',' lethargy',' irregular_sugar_level',' blurred_and_distorted_vision',' obesity',' excessive_hunger',' increased_appetite',' polyuria',0,0,0,0,0,0,0,'Diabetes '
' fatigue',' weight_loss',' restlessness',' sweating',' diarrhoea',' fast_heart_rate',' excessive_hunger',' muscle_weakness',' irritability',' abnormal_menstruation',0,0,0,0,0,0,0,Hyperthyroidism
' skin_rash',' high_fever',' blister',' yellow_crust_ooze',0,0,0,0,0,0,0,0,0,0,0,0,0,Impetigo
' cough',' high_fever',' breathlessness',' family_history',' mucoid_sputum',0,0,0,0,0,0,0,0,0,0,0,0,'Bronchial Asthma'
' joint_pain',' neck_pain',' knee_pain',' hip_joint_pain',' swelling_joints',0,0,0,0,0,0,0,0,0,0,0,0,Osteoarthristis
' fatigue',' weight_loss',' restlessness',' lethargy',' irregular_sugar_level',' blurred_and_distorted_vision',' obesity',' excessive_hunger',' increased_appetite',' polyuria',0,0,0,0,0,0,0,'Diabetes '
' fatigue',' cramps',' bruising',' obesity',' swollen_legs',' swollen_blood_vessels',' prominent_veins_on_calf',0,0,0,0,0,0,0,0,0,0,'Varicose veins'
' vomiting',' headache',' nausea',' spinning_movements',' loss_of_balance',' unsteadiness',0,0,0,0,0,0,0,0,0,0,0,'(vertigo) Paroymsal  Positional Vertigo'
itching,' skin_rash',' stomach_pain',' burning_micturition',' spotting_ urination',0,0,0,0,0,0,0,0,0,0,0,0,'Drug Reaction'
' skin_rash',' joint_pain',' skin_peeling',' silver_like_dusting',' small_dents_in_nails',' inflammatory_nails',0,0,0,0,0,0,0,0,0,0,0,Psoriasis
' chills',' fatigue',' high_fever',' breathlessness',' sweating',' malaise',' phlegm',' chest_pain',' fast_heart_rate',' rusty_sputum',0,0,0,0,0,0,0,Pneumonia
' joint_pain',' vomiting',' fatigue',' yellowish_skin',' dark_urine',' nausea',' abdominal_pain',' yellowing_of_eyes',0,0,0,0,0,0,0,0,0,'Hepatitis D'
' fatigue',' weight_loss',' restlessness',' lethargy',' irregular_sugar_level',' blurred_and_distorted_vision',' obesity',' excessive_hunger',' increased_appetite',' polyuria',0,0,0,0,0,0,0,'Diabetes '
itching,' vomiting',' fatigue',' weight_loss',' high_fever',' yellowish_skin',' dark_urine',' abdominal_pain',0,0,0,0,0,0,0,0,0,Jaundice
' vomiting',' headache',' nausea',' spinning_movements',' unsteadiness',0,0,0,0,0,0,0,0,0,0,0,0,'(vertigo) Paroymsal  Positional Vertigo'
' stomach_pain',' ulcers_on_tongue',' vomiting',' cough',' chest_pain',0,0,0,0,0,0,0,0,0,0,0,0,GERD
' vomiting',' sunken_eyes',' dehydration',' diarrhoea',0,0,0,0,0,0,0,0,0,0,0,0,0,Gastroenteritis
' skin_rash',' pus_filled_pimples',' blackheads',' scurring',0,0,0,0,0,0,0,0,0,0,0,0,0,Acne
' fatigue',' weight_gain',' cold_hands_and_feets',' mood_swings',' lethargy',' dizziness',' puffy_face_and_eyes',' enlarged_thyroid',' brittle_nails',' swollen_extremeties',' depression',' irritability',' abnormal_menstruation',0,0,0,0,Hypothyroidism
itching,' skin_rash',' stomach_pain',' burning_micturition',' spotting_ urination',0,0,0,0,0,0,0,0,0,0,0,0,'Drug Reaction'
' muscle_weakness',' stiff_neck',' swelling_joints',' movement_stiffness',' painful_walking',0,0,0,0,0,0,0,0,0,0,0,0,Arthritis
itching,' skin_rash',' fatigue',' lethargy',' headache',' loss_of_appetite',' mild_fever',' swelled_lymph_nodes',' malaise',' red_spots_over_body',0,0,0,0,0,0,0,'Chicken pox'
' acidity',' indigestion',' headache',' blurred_and_distorted_vision',' excessive_hunger',' stiff_neck',' depression',' irritability',' visual_disturbances',0,0,0,0,0,0,0,0,Migraine
' vomiting',' headache',' nausea',' loss_of_balance',' unsteadiness',0,0,0,0,0,0,0,0,0,0,0,0,'(vertigo) Paroymsal  Positional Vertigo'
itching,' skin_rash',' fatigue',' lethargy',' high_fever',' headache',' loss_of_appetite',' mild_fever',' swelled_lymph_nodes',' malaise',' red_spots_over_body',0,0,0,0,0,0,'Chicken pox'
' skin_rash',' pus_filled_pimples',' blackheads',0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acne
' chills',' vomiting',' fatigue',' weight_loss',' cough',' high_fever',' breathlessness',' sweating',' loss_of_appetite',' mild_fever',' yellowing_of_eyes',' swelled_lymph_nodes',' malaise',' phlegm',' chest_pain',' blood_in_sputum',0,Tuberculosis
' stomach_pain',' acidity',' ulcers_on_tongue',' vomiting',' cough',' chest_pain',0,0,0,0,0,0,0,0,0,0,0,GERD
' fatigue',' weight_loss',' restlessness',' lethargy',' irregular_sugar_level',' blurred_and_distorted_vision',' obesity',' excessive_hunger',' increased_appetite',' polyuria',0,0,0,0,0,0,0,'Diabetes '
' muscle_weakness',' stiff_neck',' swelling_joints',' painful_walking',0,0,0,0,0,0,0,0,0,0,0,0,0,Arthritis
' vomiting',' headache',' nausea',' spinning_movements',' loss_of_balance',' unsteadiness',0,0,0,0,0,0,0,0,0,0,0,'(vertigo) Paroymsal  Positional Vertigo'
' continuous_sneezing',' chills',' fatigue',' cough',' headache',' swelled_lymph_nodes',' malaise',' phlegm',' throat_irritation',' redness_of_eyes',' sinus_pressure',' runny_nose',' congestion',' chest_pain',' loss_of_smell',' muscle_pain',0,'Common Cold'
